Chunk,Frame,PSNR (dB),SSIM
1,0,85.4547,0.99999
1,1,85.4547,0.99999
1,2,85.4547,0.99999
1,3,85.4547,0.99999
2,4,47.4797,0.996319
2,5,35.7665,0.984712
2,6,37.24,0.976634
2,7,35.629,0.966827
2,8,32.8955,0.958226
2,9,31.3838,0.950685
2,10,31.4176,0.944958
2,11,30.1985,0.941147
2,12,29.7473,0.94758
2,13,29.9369,0.948396
2,14,29.9647,0.948395
2,15,31.9808,0.953312
2,16,32.1146,0.954005
2,17,32.4487,0.954835
2,18,34.631,0.957298
2,19,34.7772,0.958138
2,20,35.733,0.960816
2,21,35.8225,0.961211
2,22,36.7145,0.962887
2,23,36.8241,0.963236
2,24,37.604,0.965274
2,25,37.7155,0.965889
2,26,38.5443,0.968313
2,27,38.6626,0.968992
2,28,39.0041,0.970039
2,29,39.5172,0.971797
2,30,39.8987,0.972938
2,31,40.378,0.974613
2,32,40.7165,0.975844
2,33,41.1758,0.977566
2,34,41.5581,0.978953
2,35,41.9564,0.98036
2,36,42.3193,0.981652
2,37,42.6145,0.982938
2,38,42.6943,0.983281
2,39,42.9814,0.984292
2,40,43.057,0.984679
2,41,43.5634,0.986266
2,42,43.6454,0.986672
2,43,44.0742,0.988015
2,44,44.1654,0.988447
2,45,44.4848,0.989588
2,46,44.575,0.989989
2,47,44.8128,0.990737
2,48,44.89,0.991053
2,49,45.1078,0.991707
2,50,45.1739,0.991975
2,51,45.327,0.992476
2,52,45.3916,0.992722
2,53,45.4865,0.993084
2,54,45.544,0.993317
2,55,45.6489,0.993698
2,56,45.6919,0.993894
2,57,45.7941,0.994255
2,58,45.8004,0.994318
2,59,45.8366,0.994449
2,60,45.8812,0.994633
2,61,45.8987,0.9947
2,62,45.9029,0.994766
2,63,45.9169,0.994815
2,64,45.9438,0.994945
2,65,45.9663,0.994981
2,66,45.9854,0.995049
2,67,46.1063,0.995512
2,68,46.0956,0.995511
2,69,46.1486,0.995706
2,70,46.138,0.995711
2,71,46.1487,0.995712
2,72,46.1561,0.995743
2,73,46.1618,0.99576
2,74,46.1578,0.995771
2,75,46.1684,0.99579
2,76,46.1603,0.995767
2,77,46.156,0.995775
2,78,46.1481,0.995761
2,79,46.1643,0.995772
2,80,46.1722,0.995838
2,81,46.183,0.99585
2,82,46.1801,0.995869
2,83,46.1783,0.995848
2,84,46.1728,0.995858
2,85,46.183,0.995874
2,86,46.1702,0.995858
2,87,46.1906,0.995903
2,88,46.1809,0.995882
2,89,46.1866,0.995885
2,90,46.1849,0.995893
2,91,46.1926,0.995895
2,92,46.1999,0.995902
2,93,46.2623,0.99615
2,94,46.2405,0.996093
2,95,46.2893,0.996262
2,96,46.2746,0.996228
2,97,46.2989,0.996305
2,98,46.2943,0.996279
2,99,46.3097,0.996328
2,100,46.3118,0.996341
2,101,46.3149,0.996356
2,102,46.3175,0.996371
2,103,46.3126,0.996364
2,104,46.3165,0.996368
2,105,46.3182,0.99639
2,106,46.3175,0.996383
2,107,46.3244,0.996406
2,108,46.3282,0.996408
2,109,46.33,0.996421
2,110,46.3325,0.99642
2,111,46.3514,0.996499
2,112,46.3868,0.996663
2,113,46.3766,0.996627
2,114,46.3884,0.996687
2,115,46.3911,0.996692
2,116,46.3919,0.996683
2,117,46.3833,0.996661
2,118,46.3823,0.996667
2,119,46.375,0.996643
2,120,46.3846,0.99664
2,121,46.3788,0.996646
2,122,46.4324,0.996886
2,123,46.4011,0.996796
2,124,46.4166,0.996837
2,125,46.4097,0.996818
2,126,46.4181,0.996859
2,127,46.4037,0.996812
2,128,46.4011,0.996806
2,129,46.3984,0.996807
2,130,46.3992,0.996825
2,131,46.4084,0.996812
2,132,43.1096,0.990292
2,133,46.3769,0.997092
2,134,46.2257,0.996841
2,135,46.333,0.996914
2,136,46.3599,0.996994
