Frame,PSNR,SSIM
1,85.4547,0.99999
2,85.4547,0.99999
3,85.4547,0.99999
4,85.4547,0.99999
5,38.7923,0.987002
6,35.855,0.97922
7,35.6472,0.968691
8,33.9094,0.958871
9,31.8475,0.951491
10,32.4047,0.945688
11,31.0336,0.941906
12,30.0685,0.935822
13,31.0073,0.945578
14,31.2142,0.946999
15,31.3777,0.947151
16,34.4125,0.954517
17,34.575,0.955325
18,35.6464,0.958345
19,35.727,0.958473
20,36.884,0.961694
21,37.0265,0.962221
22,38.1807,0.965719
23,38.2729,0.96602
24,38.7734,0.967343
25,38.8542,0.967698
26,39.9838,0.970774
27,40.1338,0.971534
28,41.0538,0.974337
29,41.1961,0.975027
30,42.0154,0.976845
31,42.1508,0.977286
32,43.0293,0.979407
33,43.1684,0.979875
34,43.9649,0.981778
35,44.0321,0.982151
36,44.1562,0.982466
37,45.0015,0.984331
38,44.9942,0.984461
39,45.2134,0.98498
40,45.9878,0.986437
41,45.9596,0.986536
42,46.1617,0.986866
43,47.2747,0.988668
44,47.2232,0.988761
45,47.5089,0.989235
46,47.5972,0.989414
47,48.2992,0.990405
48,48.2458,0.990416
49,48.5003,0.990834
50,48.5895,0.99102
51,48.7702,0.991236
52,48.8633,0.991401
53,49.2948,0.991871
54,49.282,0.991925
55,49.4732,0.992171
56,49.5448,0.992269
57,50.4626,0.993239
58,50.3493,0.993222
59,50.427,0.99328
60,50.5764,0.993415
61,50.6422,0.993515
62,50.7199,0.993575
63,50.8282,0.993701
64,50.8792,0.993787
65,50.9026,0.993828
66,50.9284,0.993873
67,50.9756,0.993927
68,51.1758,0.994114
69,51.2237,0.99415
70,51.3052,0.994275
71,51.4277,0.994404
72,51.41,0.994366
73,51.4069,0.994386
74,51.4825,0.994445
75,51.4581,0.994452
76,51.5091,0.994502
77,51.5543,0.994537
78,51.553,0.994565
79,52.6622,0.995427
80,52.2099,0.995393
81,52.3937,0.995414
82,52.5187,0.995482
83,52.5893,0.995524
84,52.6292,0.995565
85,52.6701,0.995597
86,52.6906,0.995606
87,52.768,0.995677
88,52.7422,0.995701
89,52.7505,0.995715
90,52.7572,0.995716
91,52.8239,0.995729
92,52.8549,0.995757
93,52.8761,0.995765
94,53.7613,0.996327
95,53.4772,0.996237
96,53.6222,0.996324
97,53.7556,0.996371
98,53.7977,0.996389
99,53.8837,0.99644
100,53.9589,0.996497
101,53.9962,0.996536
102,54.1329,0.996609
103,54.1311,0.996623
104,54.1911,0.996661
105,54.3443,0.996716
106,54.2844,0.996702
107,54.4126,0.99675
108,54.4416,0.996782
109,54.4798,0.996799
110,54.5185,0.996817
111,54.6871,0.996887
112,54.6261,0.996863
113,54.782,0.996961
114,54.7716,0.996946
115,54.8446,0.996987
116,55.0345,0.997074
117,54.916,0.997042
118,55.1549,0.997153
119,55.198,0.997188
120,54.9603,0.997132
121,54.9778,0.997117
122,54.9937,0.997114
123,55.0215,0.997142
124,55.1027,0.997152
125,55.0705,0.997143
126,55.1146,0.997175
127,55.1104,0.997167
128,55.1223,0.99717
129,46.1568,0.991309
130,55.4608,0.997801
131,54.1965,0.9976
132,54.6222,0.997634
133,54.9266,0.997672
134,55.0184,0.997686
135,55.1336,0.99771
136,55.1873,0.997732
137,55.2828,0.997753
138,55.2721,0.997745
139,55.2737,0.997747
140,55.3457,0.997763
141,55.3991,0.997768
142,55.3783,0.997763
143,55.4132,0.997756
144,56.2417,0.998002
145,55.7328,0.997887
146,56.0729,0.997966
147,56.0425,0.997957
148,56.0563,0.997942
149,56.055,0.997939
150,56.0698,0.997946
151,56.2065,0.997984
152,56.1342,0.997952
153,56.1447,0.997958
154,56.207,0.997978
155,56.2308,0.997998
156,56.2328,0.997996
157,56.3732,0.998028
158,56.3083,0.998016
159,56.4308,0.998051
160,56.3425,0.998029
161,56.4271,0.998055
162,56.3907,0.998035
163,56.4388,0.998053
164,56.4659,0.998064
165,56.4678,0.998066
166,56.4789,0.998065
167,56.4854,0.998063
168,56.493,0.998071
169,56.4977,0.998074
170,56.5056,0.998074
171,56.5003,0.998066
172,56.507,0.998077
173,56.5238,0.998083
174,56.8468,0.998163
175,56.7227,0.998128
176,56.7351,0.99812
177,56.7446,0.99813
178,56.7421,0.998123
179,56.7511,0.998128
180,56.7527,0.998128
181,56.7561,0.99813
182,56.7609,0.998127
183,56.7537,0.998124
184,56.7568,0.998121
185,56.7468,0.998125
186,56.742,0.998122
187,56.7408,0.998115
188,56.7458,0.998122
189,56.9246,0.998154
190,56.8442,0.998144
191,56.8756,0.998148
192,56.8726,0.998145
193,56.8748,0.998146
194,56.8648,0.998144
195,56.8541,0.99814
196,56.8199,0.998131
197,56.8238,0.998145
198,56.8286,0.998148
199,56.837,0.998141
200,56.8328,0.998143
201,56.8427,0.99816
202,56.8396,0.998155
203,56.8455,0.998157
204,57.0057,0.998196
205,56.7216,0.998145
206,56.8763,0.998167
207,56.7717,0.998138
208,56.8592,0.998167
209,56.8499,0.998158
210,56.8866,0.998173
211,56.8585,0.998159
212,56.8536,0.998154
213,56.8543,0.998159
214,55.9654,0.998051
215,53.1127,0.997308
216,51.6162,0.996734
217,49.5116,0.995893
218,48.0708,0.995137
219,51.2202,0.996021
220,48.1546,0.99543
221,47.2069,0.995173
222,46.3785,0.994596
223,44.2324,0.993136
224,43.423,0.992115
225,39.682,0.990374
226,43.3178,0.988858
227,41.7556,0.988442
228,41.5645,0.986806
229,41.5963,0.986435
230,38.8876,0.985705
231,41.2606,0.983453
232,40.4059,0.982776
233,40.0519,0.982429
234,40.0643,0.981016
235,40.1135,0.980447
236,40.6453,0.979717
237,40.3496,0.979384
238,40.1281,0.979273
239,39.8078,0.978771
240,39.6971,0.976174
241,37.2459,0.977849
242,40.3121,0.977781
243,39.862,0.977826
244,40.0993,0.977541
245,42.4146,0.982232
246,38.6917,0.982394
247,41.8387,0.982229
248,39.4347,0.982342
249,42.8739,0.982509
250,41.2696,0.983096
251,43.3972,0.985593
252,42.4338,0.992604
253,42.0206,0.994914
254,42.2446,0.995434
255,42.8815,0.996574
256,43.0299,0.996849
257,75.9897,0.999978
258,76.0801,0.999979
259,76.0801,0.999979
260,76.0801,0.999979
261,76.0749,0.999979
262,76.0801,0.999979
263,76.0801,0.999979
264,76.0749,0.999979
265,56.8227,0.998989
266,50.6513,0.996995
267,46.5041,0.993246
268,43.8141,0.98945
269,43.3772,0.988021
270,42.8826,0.984977
271,40.938,0.981404
272,41.5585,0.982783
273,40.2669,0.979261
274,39.5294,0.976969
275,38.5349,0.974989
276,38.2717,0.973052
277,37.6552,0.971866
278,37.2832,0.971644
279,36.7152,0.969182
280,36.5218,0.969529
281,35.7974,0.968212
282,35.9638,0.969467
283,35.3302,0.967918
284,35.1991,0.968077
285,34.7782,0.967419
286,34.6515,0.967075
287,34.5326,0.967197
288,34,0.965904
289,34.4021,0.96739
290,34.8943,0.969795
291,34.9543,0.97012
292,36.8526,0.976304
293,36.8622,0.97674
294,37.0529,0.977315
295,37.6339,0.978895
296,37.6361,0.978961
297,37.7351,0.979264
298,37.7706,0.979355
299,38.8498,0.981547
300,38.8475,0.981653
